id,grapheme,phoneme,example_word
266,r,/r/,rat
267,t,/t/,top
268,t,/t/,top
269,str,/str/,street
270,f,/f/,fish
271,s,/s/,sun
272,l,/l/,lamp
273,oo,/uː/,moon
274,b,/b/,ball
275,ee,/iː/,tree
276,i,/ɪ/,ink
277,k,/k/,kite
278,ai,/eɪ/,rain
279,h,/h/,hat
280,str,/str/,street
281,ch,/ʧ/,chair
282,l,/l/,lamp
283,ch,/ʧ/,chair
284,th,/θ/,think
285,oo,/uː/,moon
286,oo,/uː/,moon
287,bl,/bl/,blue
288,b,/b/,ball
289,z,/z/,zebra
290,ee,/iː/,tree
291,i,/ɪ/,ink
292,ph,/f/,phone
293,q,/kw/,queen
294,p,/p/,pen
295,u,/ʌ/,umbrella
296,h,/h/,hat
297,cr,/kr/,crab
298,b,/b/,ball
299,ee,/iː/,tree
300,w,/w/,watch
301,str,/str/,street
302,wh,/w/,what
303,ph,/f/,phone
304,str,/str/,street
305,m,/m/,man
306,ch,/ʧ/,chair
307,i,/ɪ/,ink
308,th,/θ/,think
309,l,/l/,lamp
310,r,/r/,rat
311,s,/s/,sun
312,f,/f/,fish
313,ph,/f/,phone
314,r,/r/,rat
315,oa,/oʊ/,boat
316,t,/t/,top
317,f,/f/,fish
318,ai,/eɪ/,rain
319,sh,/ʃ/,ship
320,str,/str/,street
321,r,/r/,rat
322,l,/l/,lamp
323,ee,/iː/,tree
324,j,/ʤ/,jam
325,h,/h/,hat
326,o,/ɒ/,orange
327,k,/k/,kite
328,o,/ɒ/,orange
329,h,/h/,hat
330,d,/d/,dog
331,d,/d/,dog
332,ph,/f/,phone
333,t,/t/,top
334,g,/g/,goat
335,g,/g/,goat
336,th,/θ/,think
337,i,/ɪ/,ink
338,ph,/f/,phone
339,e,/ɛ/,egg
340,v,/v/,van
341,r,/r/,rat
342,i,/ɪ/,ink
343,cr,/kr/,crab
344,cr,/kr/,crab
345,ch,/ʧ/,chair
346,s,/s/,sun
347,th,/θ/,think
348,wh,/w/,what
349,q,/kw/,queen
350,c,/k/,cat
351,i,/ɪ/,ink
352,d,/d/,dog
353,oa,/oʊ/,boat
354,cr,/kr/,crab
355,bl,/bl/,blue
356,v,/v/,van
357,e,/ɛ/,egg
358,b,/b/,ball
359,u,/ʌ/,umbrella
360,q,/kw/,queen
361,v,/v/,van
362,a,/æ/,apple
363,x,/ks/,box
364,p,/p/,pen
365,oo,/uː/,moon
366,d,/d/,dog
367,a,/æ/,apple
368,th,/θ/,think
369,th,/θ/,think
370,f,/f/,fish
371,cr,/kr/,crab
372,c,/k/,cat
373,d,/d/,dog
374,y,/j/,yak
375,x,/ks/,box
376,h,/h/,hat
377,ch,/ʧ/,chair
378,r,/r/,rat
379,r,/r/,rat
380,str,/str/,street
381,f,/f/,fish
382,cr,/kr/,crab
383,k,/k/,kite
384,k,/k/,kite
385,j,/ʤ/,jam
386,q,/kw/,queen
387,oa,/oʊ/,boat
388,a,/æ/,apple
389,n,/n/,net
390,e,/ɛ/,egg
391,r,/r/,rat
392,ch,/ʧ/,chair
393,f,/f/,fish
394,n,/n/,net
395,z,/z/,zebra
396,k,/k/,kite
397,ai,/eɪ/,rain
398,wh,/w/,what
399,i,/ɪ/,ink
400,v,/v/,van
401,t,/t/,top
402,f,/f/,fish
403,e,/ɛ/,egg
404,k,/k/,kite
405,x,/ks/,box
406,ai,/eɪ/,rain
407,d,/d/,dog
408,bl,/bl/,blue
409,ee,/iː/,tree
410,q,/kw/,queen
411,i,/ɪ/,ink
412,i,/ɪ/,ink
413,ee,/iː/,tree
414,k,/k/,kite
415,w,/w/,watch
416,bl,/bl/,blue
417,t,/t/,top
418,j,/ʤ/,jam
419,g,/g/,goat
420,r,/r/,rat
421,f,/f/,fish
422,x,/ks/,box
423,t,/t/,top
424,d,/d/,dog
425,f,/f/,fish
426,i,/ɪ/,ink
427,n,/n/,net
428,wh,/w/,what
429,u,/ʌ/,umbrella
430,m,/m/,man
431,v,/v/,van
432,wh,/w/,what
433,y,/j/,yak
434,str,/str/,street
435,c,/k/,cat
436,y,/j/,yak
437,q,/kw/,queen
438,k,/k/,kite
439,h,/h/,hat
440,s,/s/,sun
441,bl,/bl/,blue
442,r,/r/,rat
443,n,/n/,net
444,c,/k/,cat
445,h,/h/,hat
446,b,/b/,ball
447,v,/v/,van
448,ai,/eɪ/,rain
449,cr,/kr/,crab
450,str,/str/,street
451,str,/str/,street
452,ee,/iː/,tree
453,o,/ɒ/,orange
454,m,/m/,man
455,x,/ks/,box
456,x,/ks/,box
457,q,/kw/,queen
458,wh,/w/,what
459,z,/z/,zebra
460,cr,/kr/,crab
461,e,/ɛ/,egg
462,r,/r/,rat
463,sh,/ʃ/,ship
464,b,/b/,ball
465,d,/d/,dog
466,s,/s/,sun
467,cr,/kr/,crab
468,s,/s/,sun
469,s,/s/,sun
470,c,/k/,cat
471,h,/h/,hat
472,b,/b/,ball
473,ee,/iː/,tree
474,ch,/ʧ/,chair
475,l,/l/,lamp
476,r,/r/,rat
477,s,/s/,sun
478,c,/k/,cat
479,p,/p/,pen
480,h,/h/,hat
481,ch,/ʧ/,chair
482,a,/æ/,apple
483,m,/m/,man
484,a,/æ/,apple
485,u,/ʌ/,umbrella
486,th,/θ/,think
487,b,/b/,ball
488,d,/d/,dog
489,z,/z/,zebra
490,z,/z/,zebra
491,m,/m/,man
492,p,/p/,pen
493,n,/n/,net
494,p,/p/,pen
495,a,/æ/,apple
496,n,/n/,net
497,x,/ks/,box
498,i,/ɪ/,ink
499,str,/str/,street
500,ai,/eɪ/,rain
501,w,/w/,watch
502,k,/k/,kite
503,sh,/ʃ/,ship
504,oo,/uː/,moon
505,n,/n/,net
506,str,/str/,street
507,g,/g/,goat
508,th,/θ/,think
509,m,/m/,man
510,y,/j/,yak
511,str,/str/,street
512,j,/ʤ/,jam
513,w,/w/,watch
514,k,/k/,kite
515,r,/r/,rat
516,p,/p/,pen
517,ai,/eɪ/,rain
518,a,/æ/,apple
519,m,/m/,man
520,s,/s/,sun
521,d,/d/,dog
522,g,/g/,goat
523,d,/d/,dog
524,s,/s/,sun
525,str,/str/,street
526,c,/k/,cat
527,n,/n/,net
528,x,/ks/,box
529,oo,/uː/,moon
530,u,/ʌ/,umbrella
531,x,/ks/,box
532,o,/ɒ/,orange
533,ph,/f/,phone
534,y,/j/,yak
535,str,/str/,street
536,t,/t/,top
537,ai,/eɪ/,rain
538,n,/n/,net
539,ph,/f/,phone
540,y,/j/,yak
541,t,/t/,top
542,b,/b/,ball
543,ch,/ʧ/,chair
544,a,/æ/,apple
545,o,/ɒ/,orange
546,l,/l/,lamp
547,v,/v/,van
548,ch,/ʧ/,chair
549,l,/l/,lamp
550,b,/b/,ball
551,a,/æ/,apple
552,l,/l/,lamp
553,c,/k/,cat
554,m,/m/,man
555,c,/k/,cat
556,oa,/oʊ/,boat
557,ph,/f/,phone
558,ch,/ʧ/,chair
559,h,/h/,hat
560,g,/g/,goat
561,r,/r/,rat
562,b,/b/,ball
563,str,/str/,street
564,g,/g/,goat
565,x,/ks/,box
566,th,/θ/,think
567,h,/h/,hat
568,h,/h/,hat
569,m,/m/,man
570,s,/s/,sun
571,t,/t/,top
572,i,/ɪ/,ink
573,i,/ɪ/,ink
574,u,/ʌ/,umbrella
575,o,/ɒ/,orange
576,k,/k/,kite
577,str,/str/,street
578,z,/z/,zebra
579,k,/k/,kite
580,sh,/ʃ/,ship
581,i,/ɪ/,ink
582,wh,/w/,what
583,r,/r/,rat
584,j,/ʤ/,jam
585,c,/k/,cat
586,p,/p/,pen
587,t,/t/,top
588,l,/l/,lamp
589,f,/f/,fish
590,l,/l/,lamp
591,l,/l/,lamp
592,r,/r/,rat
593,oo,/uː/,moon
594,h,/h/,hat
595,ee,/iː/,tree
596,o,/ɒ/,orange
597,o,/ɒ/,orange
598,s,/s/,sun
599,cr,/kr/,crab
600,v,/v/,van
601,l,/l/,lamp
602,j,/ʤ/,jam
603,th,/θ/,think
604,b,/b/,ball
605,s,/s/,sun
606,i,/ɪ/,ink
607,m,/m/,man
608,p,/p/,pen
609,v,/v/,van
610,r,/r/,rat
611,t,/t/,top
612,j,/ʤ/,jam
613,p,/p/,pen
614,g,/g/,goat
615,f,/f/,fish
616,t,/t/,top
617,u,/ʌ/,umbrella
618,ai,/eɪ/,rain
619,n,/n/,net
620,c,/k/,cat
621,r,/r/,rat
622,g,/g/,goat
623,g,/g/,goat
624,cr,/kr/,crab
625,q,/kw/,queen
626,l,/l/,lamp
627,n,/n/,net
628,n,/n/,net
629,oa,/oʊ/,boat
630,z,/z/,zebra
631,ph,/f/,phone
632,z,/z/,zebra
633,n,/n/,net
634,s,/s/,sun
635,bl,/bl/,blue
636,q,/kw/,queen
637,h,/h/,hat
638,wh,/w/,what
639,s,/s/,sun
640,w,/w/,watch
641,x,/ks/,box
642,h,/h/,hat
643,z,/z/,zebra
644,f,/f/,fish
645,sh,/ʃ/,ship
646,ph,/f/,phone
647,ai,/eɪ/,rain
648,z,/z/,zebra
649,i,/ɪ/,ink
650,i,/ɪ/,ink
651,th,/θ/,think
652,q,/kw/,queen
653,x,/ks/,box
654,p,/p/,pen
655,sh,/ʃ/,ship
656,u,/ʌ/,umbrella
657,s,/s/,sun
658,ph,/f/,phone
659,i,/ɪ/,ink
660,ph,/f/,phone
661,g,/g/,goat
662,th,/θ/,think
663,x,/ks/,box
664,x,/ks/,box
665,bl,/bl/,blue
666,n,/n/,net
667,h,/h/,hat
668,k,/k/,kite
669,r,/r/,rat
670,oo,/uː/,moon
671,str,/str/,street
672,ch,/ʧ/,chair
673,b,/b/,ball
674,e,/ɛ/,egg
675,t,/t/,top
676,oa,/oʊ/,boat
677,s,/s/,sun
678,p,/p/,pen
679,e,/ɛ/,egg
680,a,/æ/,apple
681,th,/θ/,think
682,th,/θ/,think
683,oo,/uː/,moon
684,n,/n/,net
685,g,/g/,goat
686,str,/str/,street
687,d,/d/,dog
688,y,/j/,yak
689,y,/j/,yak
690,a,/æ/,apple
691,n,/n/,net
692,wh,/w/,what
693,sh,/ʃ/,ship
694,ee,/iː/,tree
695,g,/g/,goat
696,ph,/f/,phone
697,o,/ɒ/,orange
698,b,/b/,ball
699,a,/æ/,apple
700,q,/kw/,queen
701,q,/kw/,queen
702,f,/f/,fish
703,ph,/f/,phone
704,ee,/iː/,tree
705,h,/h/,hat
706,ch,/ʧ/,chair
707,m,/m/,man
708,e,/ɛ/,egg
709,m,/m/,man
710,ee,/iː/,tree
711,s,/s/,sun
712,q,/kw/,queen
713,y,/j/,yak
714,i,/ɪ/,ink
715,j,/ʤ/,jam
716,i,/ɪ/,ink
717,d,/d/,dog
718,sh,/ʃ/,ship
719,y,/j/,yak
720,q,/kw/,queen
721,i,/ɪ/,ink
722,s,/s/,sun
723,j,/ʤ/,jam
724,bl,/bl/,blue
725,h,/h/,hat
726,n,/n/,net
727,h,/h/,hat
728,bl,/bl/,blue
729,p,/p/,pen
730,z,/z/,zebra
731,x,/ks/,box
732,q,/kw/,queen
733,x,/ks/,box
734,e,/ɛ/,egg
735,j,/ʤ/,jam
736,sh,/ʃ/,ship
737,w,/w/,watch
738,n,/n/,net
739,oo,/uː/,moon
740,oo,/uː/,moon
741,f,/f/,fish
742,ch,/ʧ/,chair
743,q,/kw/,queen
744,sh,/ʃ/,ship
745,e,/ɛ/,egg
746,x,/ks/,box
747,t,/t/,top
748,y,/j/,yak
749,r,/r/,rat
750,y,/j/,yak
751,t,/t/,top
752,w,/w/,watch
753,t,/t/,top
754,wh,/w/,what
755,l,/l/,lamp
756,x,/ks/,box
757,ph,/f/,phone
758,h,/h/,hat
759,t,/t/,top
760,cr,/kr/,crab
761,q,/kw/,queen
762,cr,/kr/,crab
763,u,/ʌ/,umbrella
764,s,/s/,sun
765,g,/g/,goat
766,e,/ɛ/,egg
767,y,/j/,yak
768,o,/ɒ/,orange
769,b,/b/,ball
770,z,/z/,zebra
771,th,/θ/,think
772,str,/str/,street
773,g,/g/,goat
774,t,/t/,top
775,ai,/eɪ/,rain
776,d,/d/,dog
777,cr,/kr/,crab
778,t,/t/,top
779,l,/l/,lamp
780,f,/f/,fish
781,b,/b/,ball
782,ph,/f/,phone
783,n,/n/,net
784,ph,/f/,phone
785,y,/j/,yak
786,c,/k/,cat
787,i,/ɪ/,ink
788,m,/m/,man
789,sh,/ʃ/,ship
790,ai,/eɪ/,rain
791,r,/r/,rat
792,w,/w/,watch
793,str,/str/,street
794,cr,/kr/,crab
795,sh,/ʃ/,ship
796,wh,/w/,what
797,c,/k/,cat
798,m,/m/,man
799,n,/n/,net
800,w,/w/,watch
801,wh,/w/,what
802,a,/æ/,apple
803,j,/ʤ/,jam
804,th,/θ/,think
805,r,/r/,rat
806,m,/m/,man
807,x,/ks/,box
808,o,/ɒ/,orange
809,p,/p/,pen
810,sh,/ʃ/,ship
811,bl,/bl/,blue
812,k,/k/,kite
813,u,/ʌ/,umbrella
814,r,/r/,rat
815,i,/ɪ/,ink
816,oo,/uː/,moon
817,t,/t/,top
818,b,/b/,ball
819,th,/θ/,think
820,y,/j/,yak
821,p,/p/,pen
822,o,/ɒ/,orange
823,s,/s/,sun
824,ai,/eɪ/,rain
825,w,/w/,watch
826,wh,/w/,what
827,s,/s/,sun
828,f,/f/,fish
829,bl,/bl/,blue
830,k,/k/,kite
831,d,/d/,dog
832,a,/æ/,apple
833,j,/ʤ/,jam
834,z,/z/,zebra
835,e,/ɛ/,egg
836,bl,/bl/,blue
837,d,/d/,dog
838,t,/t/,top
839,d,/d/,dog
840,x,/ks/,box
841,z,/z/,zebra
842,u,/ʌ/,umbrella
843,k,/k/,kite
844,ch,/ʧ/,chair
845,wh,/w/,what
846,ee,/iː/,tree
847,b,/b/,ball
848,w,/w/,watch
849,u,/ʌ/,umbrella
850,r,/r/,rat
851,oa,/oʊ/,boat
852,f,/f/,fish
853,m,/m/,man
854,t,/t/,top
855,k,/k/,kite
856,f,/f/,fish
857,f,/f/,fish
858,j,/ʤ/,jam
859,x,/ks/,box
860,str,/str/,street
861,str,/str/,street
862,g,/g/,goat
863,ch,/ʧ/,chair
864,b,/b/,ball
865,l,/l/,lamp
866,th,/θ/,think
867,v,/v/,van
868,r,/r/,rat
869,y,/j/,yak
870,wh,/w/,what
871,b,/b/,ball
872,m,/m/,man
873,u,/ʌ/,umbrella
874,ch,/ʧ/,chair
875,wh,/w/,what
876,wh,/w/,what
877,p,/p/,pen
878,x,/ks/,box
879,str,/str/,street
880,j,/ʤ/,jam
881,x,/ks/,box
882,u,/ʌ/,umbrella
883,o,/ɒ/,orange
884,ai,/eɪ/,rain
885,h,/h/,hat
886,i,/ɪ/,ink
887,wh,/w/,what
888,z,/z/,zebra
889,a,/æ/,apple
890,k,/k/,kite
891,n,/n/,net
892,x,/ks/,box
893,b,/b/,ball
894,cr,/kr/,crab
895,g,/g/,goat
896,a,/æ/,apple
897,t,/t/,top
898,l,/l/,lamp
899,cr,/kr/,crab
900,a,/æ/,apple
901,v,/v/,van
902,th,/θ/,think
903,ch,/ʧ/,chair
904,ai,/eɪ/,rain
905,c,/k/,cat
906,b,/b/,ball
907,x,/ks/,box
908,ee,/iː/,tree
909,p,/p/,pen
910,h,/h/,hat
911,m,/m/,man
912,oo,/uː/,moon
913,k,/k/,kite
914,h,/h/,hat
915,ee,/iː/,tree
916,str,/str/,street
917,c,/k/,cat
918,r,/r/,rat
919,bl,/bl/,blue
920,c,/k/,cat
921,d,/d/,dog
922,cr,/kr/,crab
923,i,/ɪ/,ink
924,h,/h/,hat
925,cr,/kr/,crab
926,f,/f/,fish
927,cr,/kr/,crab
928,ch,/ʧ/,chair
929,y,/j/,yak
930,s,/s/,sun
931,n,/n/,net
932,t,/t/,top
933,t,/t/,top
934,th,/θ/,think
935,ph,/f/,phone
936,z,/z/,zebra
937,l,/l/,lamp
938,x,/ks/,box
939,a,/æ/,apple
940,e,/ɛ/,egg
941,sh,/ʃ/,ship
942,y,/j/,yak
943,u,/ʌ/,umbrella
944,l,/l/,lamp
945,h,/h/,hat
946,str,/str/,street
947,sh,/ʃ/,ship
948,ai,/eɪ/,rain
949,str,/str/,street
950,p,/p/,pen
951,sh,/ʃ/,ship
952,oo,/uː/,moon
953,j,/ʤ/,jam
954,e,/ɛ/,egg
955,l,/l/,lamp
956,h,/h/,hat
957,h,/h/,hat
958,m,/m/,man
959,m,/m/,man
960,v,/v/,van
961,u,/ʌ/,umbrella
962,g,/g/,goat
963,str,/str/,street
964,o,/ɒ/,orange
965,wh,/w/,what
966,w,/w/,watch
967,k,/k/,kite
968,h,/h/,hat
969,d,/d/,dog
970,j,/ʤ/,jam
971,o,/ɒ/,orange
972,i,/ɪ/,ink
973,q,/kw/,queen
974,bl,/bl/,blue
975,sh,/ʃ/,ship
976,str,/str/,street
977,s,/s/,sun
978,ch,/ʧ/,chair
979,m,/m/,man
980,sh,/ʃ/,ship
981,h,/h/,hat
982,sh,/ʃ/,ship
983,p,/p/,pen
984,d,/d/,dog
985,b,/b/,ball
986,o,/ɒ/,orange
987,i,/ɪ/,ink
988,bl,/bl/,blue
989,p,/p/,pen
990,y,/j/,yak
991,d,/d/,dog
992,ch,/ʧ/,chair
993,v,/v/,van
994,ee,/iː/,tree
995,w,/w/,watch
996,ai,/eɪ/,rain
997,u,/ʌ/,umbrella
998,oa,/oʊ/,boat
999,k,/k/,kite
1000,ch,/ʧ/,chair
1001,d,/d/,dog
1002,b,/b/,ball
1003,p,/p/,pen
1004,p,/p/,pen
1005,d,/d/,dog
1006,y,/j/,yak
1007,ch,/ʧ/,chair
1008,x,/ks/,box
1009,r,/r/,rat
1010,b,/b/,ball
1011,cr,/kr/,crab
1012,y,/j/,yak
1013,str,/str/,street
1014,e,/ɛ/,egg
1015,y,/j/,yak
1016,l,/l/,lamp
1017,r,/r/,rat
1018,g,/g/,goat
1019,t,/t/,top
1020,b,/b/,ball
1021,d,/d/,dog
1022,x,/ks/,box
1023,wh,/w/,what
1024,f,/f/,fish
1025,th,/θ/,think
1026,s,/s/,sun
1027,oa,/oʊ/,boat
1028,j,/ʤ/,jam
1029,q,/kw/,queen
1030,s,/s/,sun
1031,o,/ɒ/,orange
1032,t,/t/,top
1033,p,/p/,pen
1034,l,/l/,lamp
1035,c,/k/,cat
1036,u,/ʌ/,umbrella
1037,t,/t/,top
1038,s,/s/,sun
1039,oo,/uː/,moon
1040,g,/g/,goat
1041,m,/m/,man
1042,cr,/kr/,crab
1043,a,/æ/,apple
1044,oo,/uː/,moon
1045,bl,/bl/,blue
1046,e,/ɛ/,egg
1047,x,/ks/,box
1048,i,/ɪ/,ink
1049,str,/str/,street
1050,sh,/ʃ/,ship
1051,j,/ʤ/,jam
1052,c,/k/,cat
1053,oo,/uː/,moon
1054,oo,/uː/,moon
1055,x,/ks/,box
1056,b,/b/,ball
1057,u,/ʌ/,umbrella
1058,cr,/kr/,crab
1059,e,/ɛ/,egg
1060,j,/ʤ/,jam
1061,b,/b/,ball
1062,p,/p/,pen
1063,h,/h/,hat
1064,oa,/oʊ/,boat
1065,f,/f/,fish
1066,oo,/uː/,moon
1067,k,/k/,kite
1068,v,/v/,van
1069,m,/m/,man
1070,j,/ʤ/,jam
1071,l,/l/,lamp
1072,oo,/uː/,moon
1073,i,/ɪ/,ink
1074,cr,/kr/,crab
1075,z,/z/,zebra
1076,m,/m/,man
1077,n,/n/,net
1078,f,/f/,fish
1079,o,/ɒ/,orange
1080,y,/j/,yak
1081,e,/ɛ/,egg
1082,e,/ɛ/,egg
1083,w,/w/,watch
1084,g,/g/,goat
1085,str,/str/,street
1086,x,/ks/,box
1087,oa,/oʊ/,boat
1088,l,/l/,lamp
1089,i,/ɪ/,ink
1090,y,/j/,yak
1091,ch,/ʧ/,chair
1092,y,/j/,yak
1093,g,/g/,goat
1094,i,/ɪ/,ink
1095,x,/ks/,box
1096,cr,/kr/,crab
1097,r,/r/,rat
1098,t,/t/,top
1099,x,/ks/,box
1100,oo,/uː/,moon
1101,p,/p/,pen
1102,r,/r/,rat
1103,o,/ɒ/,orange
1104,y,/j/,yak
1105,z,/z/,zebra
1106,i,/ɪ/,ink
1107,l,/l/,lamp
1108,x,/ks/,box
1109,j,/ʤ/,jam
1110,r,/r/,rat
1111,oo,/uː/,moon
1112,n,/n/,net
1113,ph,/f/,phone
1114,m,/m/,man
1115,r,/r/,rat
1116,wh,/w/,what
1117,ch,/ʧ/,chair
1118,bl,/bl/,blue
1119,b,/b/,ball
1120,s,/s/,sun
1121,f,/f/,fish
1122,v,/v/,van
1123,ai,/eɪ/,rain
1124,b,/b/,ball
1125,p,/p/,pen
1126,str,/str/,street
1127,wh,/w/,what
1128,d,/d/,dog
1129,f,/f/,fish
1130,sh,/ʃ/,ship
1131,r,/r/,rat
1132,ee,/iː/,tree
1133,y,/j/,yak
1134,x,/ks/,box
1135,ph,/f/,phone
1136,ai,/eɪ/,rain
1137,u,/ʌ/,umbrella
1138,sh,/ʃ/,ship
1139,e,/ɛ/,egg
1140,f,/f/,fish
1141,j,/ʤ/,jam
1142,c,/k/,cat
1143,c,/k/,cat
1144,oo,/uː/,moon
1145,th,/θ/,think
1146,ai,/eɪ/,rain
1147,ai,/eɪ/,rain
1148,a,/æ/,apple
1149,i,/ɪ/,ink
1150,oa,/oʊ/,boat
1151,x,/ks/,box
