id,image_path,true_letter,confused_with
258,letter_reversal/images/b_1350.png,b,d
259,letter_reversal/images/n_1064.png,n,u
260,letter_reversal/images/u_1127.png,u,n
261,letter_reversal/images/q_1705.png,q,p
262,letter_reversal/images/b_0335.png,b,d
263,letter_reversal/images/d_1671.png,d,b
264,letter_reversal/images/u_0441.png,u,n
265,letter_reversal/images/u_0269.png,u,n
266,letter_reversal/images/n_0748.png,n,u
267,letter_reversal/images/n_1214.png,n,u
268,letter_reversal/images/b_1210.png,b,d
269,letter_reversal/images/p_1256.png,p,q
270,letter_reversal/images/u_0154.png,u,n
271,letter_reversal/images/q_0404.png,q,p
272,letter_reversal/images/u_0414.png,u,n
273,letter_reversal/images/p_1800.png,p,q
274,letter_reversal/images/b_1360.png,b,d
275,letter_reversal/images/b_0616.png,b,d
276,letter_reversal/images/u_1235.png,u,n
277,letter_reversal/images/w_1172.png,w,m
278,letter_reversal/images/w_0204.png,w,m
279,letter_reversal/images/n_1141.png,n,u
280,letter_reversal/images/d_0368.png,d,b
281,letter_reversal/images/n_1339.png,n,u
282,letter_reversal/images/u_1056.png,u,n
283,letter_reversal/images/b_1829.png,b,d
284,letter_reversal/images/w_1244.png,w,m
285,letter_reversal/images/q_0126.png,q,p
286,letter_reversal/images/m_1926.png,m,w
287,letter_reversal/images/q_1185.png,q,p
288,letter_reversal/images/d_1984.png,d,b
289,letter_reversal/images/q_0117.png,q,p
290,letter_reversal/images/d_1486.png,d,b
291,letter_reversal/images/w_1021.png,w,m
292,letter_reversal/images/p_1149.png,p,q
293,letter_reversal/images/u_0145.png,u,n
294,letter_reversal/images/d_1465.png,d,b
295,letter_reversal/images/q_0719.png,q,p
296,letter_reversal/images/u_0506.png,u,n
297,letter_reversal/images/b_1180.png,b,d
298,letter_reversal/images/d_0536.png,d,b
299,letter_reversal/images/b_1637.png,b,d
300,letter_reversal/images/u_1619.png,u,n
301,letter_reversal/images/p_1414.png,p,q
302,letter_reversal/images/p_0502.png,p,q
303,letter_reversal/images/b_0707.png,b,d
304,letter_reversal/images/u_0025.png,u,n
305,letter_reversal/images/b_1389.png,b,d
306,letter_reversal/images/n_1857.png,n,u
307,letter_reversal/images/m_1117.png,m,w
308,letter_reversal/images/w_1577.png,w,m
309,letter_reversal/images/m_1935.png,m,w
310,letter_reversal/images/p_0834.png,p,q
311,letter_reversal/images/b_1092.png,b,d
312,letter_reversal/images/u_1046.png,u,n
313,letter_reversal/images/b_0068.png,b,d
314,letter_reversal/images/b_0893.png,b,d
315,letter_reversal/images/u_0814.png,u,n
316,letter_reversal/images/u_1342.png,u,n
317,letter_reversal/images/b_1549.png,b,d
318,letter_reversal/images/w_1660.png,w,m
319,letter_reversal/images/b_1397.png,b,d
320,letter_reversal/images/u_0175.png,u,n
321,letter_reversal/images/m_1911.png,m,w
322,letter_reversal/images/m_0266.png,m,w
323,letter_reversal/images/d_0861.png,d,b
324,letter_reversal/images/w_1163.png,w,m
325,letter_reversal/images/w_1719.png,w,m
326,letter_reversal/images/w_1632.png,w,m
327,letter_reversal/images/q_1814.png,q,p
328,letter_reversal/images/b_0216.png,b,d
329,letter_reversal/images/w_0178.png,w,m
330,letter_reversal/images/d_1985.png,d,b
331,letter_reversal/images/m_1216.png,m,w
332,letter_reversal/images/w_0669.png,w,m
333,letter_reversal/images/w_1986.png,w,m
334,letter_reversal/images/q_0494.png,q,p
335,letter_reversal/images/p_0060.png,p,q
336,letter_reversal/images/p_1393.png,p,q
337,letter_reversal/images/n_1594.png,n,u
338,letter_reversal/images/d_1322.png,d,b
339,letter_reversal/images/m_1189.png,m,w
340,letter_reversal/images/u_1769.png,u,n
341,letter_reversal/images/q_1880.png,q,p
342,letter_reversal/images/m_1197.png,m,w
343,letter_reversal/images/q_1166.png,q,p
344,letter_reversal/images/d_0799.png,d,b
345,letter_reversal/images/b_1094.png,b,d
346,letter_reversal/images/m_1708.png,m,w
347,letter_reversal/images/n_1061.png,n,u
348,letter_reversal/images/w_1748.png,w,m
349,letter_reversal/images/n_1792.png,n,u
350,letter_reversal/images/w_1887.png,w,m
351,letter_reversal/images/q_0934.png,q,p
352,letter_reversal/images/m_0826.png,m,w
353,letter_reversal/images/u_1240.png,u,n
354,letter_reversal/images/d_0828.png,d,b
355,letter_reversal/images/p_1303.png,p,q
356,letter_reversal/images/n_1104.png,n,u
357,letter_reversal/images/p_0941.png,p,q
358,letter_reversal/images/u_0152.png,u,n
359,letter_reversal/images/q_1503.png,q,p
360,letter_reversal/images/q_0240.png,q,p
361,letter_reversal/images/p_0773.png,p,q
362,letter_reversal/images/n_0778.png,n,u
363,letter_reversal/images/n_1949.png,n,u
364,letter_reversal/images/m_1383.png,m,w
365,letter_reversal/images/b_0490.png,b,d
366,letter_reversal/images/d_0037.png,d,b
367,letter_reversal/images/b_0070.png,b,d
368,letter_reversal/images/m_0453.png,m,w
369,letter_reversal/images/b_0950.png,b,d
370,letter_reversal/images/b_1119.png,b,d
371,letter_reversal/images/p_0767.png,p,q
372,letter_reversal/images/n_0523.png,n,u
373,letter_reversal/images/u_0074.png,u,n
374,letter_reversal/images/m_0758.png,m,w
375,letter_reversal/images/b_1431.png,b,d
376,letter_reversal/images/d_0207.png,d,b
377,letter_reversal/images/n_1919.png,n,u
378,letter_reversal/images/q_1790.png,q,p
379,letter_reversal/images/b_1922.png,b,d
380,letter_reversal/images/u_0842.png,u,n
381,letter_reversal/images/p_0134.png,p,q
382,letter_reversal/images/d_0247.png,d,b
383,letter_reversal/images/q_1041.png,q,p
384,letter_reversal/images/p_0688.png,p,q
385,letter_reversal/images/b_1796.png,b,d
386,letter_reversal/images/n_0124.png,n,u
387,letter_reversal/images/n_0250.png,n,u
388,letter_reversal/images/m_1928.png,m,w
389,letter_reversal/images/w_0366.png,w,m
390,letter_reversal/images/d_1625.png,d,b
391,letter_reversal/images/p_0443.png,p,q
392,letter_reversal/images/p_1649.png,p,q
393,letter_reversal/images/d_1867.png,d,b
394,letter_reversal/images/u_0821.png,u,n
395,letter_reversal/images/u_0470.png,u,n
396,letter_reversal/images/m_1083.png,m,w
397,letter_reversal/images/m_0808.png,m,w
398,letter_reversal/images/u_1468.png,u,n
399,letter_reversal/images/w_1920.png,w,m
400,letter_reversal/images/d_0687.png,d,b
401,letter_reversal/images/w_1846.png,w,m
402,letter_reversal/images/d_1466.png,d,b
403,letter_reversal/images/p_0766.png,p,q
404,letter_reversal/images/u_0491.png,u,n
405,letter_reversal/images/q_0256.png,q,p
406,letter_reversal/images/m_1904.png,m,w
407,letter_reversal/images/q_0172.png,q,p
408,letter_reversal/images/u_0311.png,u,n
409,letter_reversal/images/w_0056.png,w,m
410,letter_reversal/images/u_0190.png,u,n
411,letter_reversal/images/n_0445.png,n,u
412,letter_reversal/images/w_0932.png,w,m
413,letter_reversal/images/q_1351.png,q,p
414,letter_reversal/images/p_0150.png,p,q
415,letter_reversal/images/n_1047.png,n,u
416,letter_reversal/images/w_0062.png,w,m
417,letter_reversal/images/w_0686.png,w,m
418,letter_reversal/images/n_1527.png,n,u
419,letter_reversal/images/m_1528.png,m,w
420,letter_reversal/images/b_0044.png,b,d
421,letter_reversal/images/d_1988.png,d,b
422,letter_reversal/images/m_0291.png,m,w
423,letter_reversal/images/p_1500.png,p,q
424,letter_reversal/images/d_1329.png,d,b
425,letter_reversal/images/u_1032.png,u,n
426,letter_reversal/images/n_1484.png,n,u
427,letter_reversal/images/p_1219.png,p,q
428,letter_reversal/images/q_0109.png,q,p
429,letter_reversal/images/d_0927.png,d,b
430,letter_reversal/images/q_1349.png,q,p
431,letter_reversal/images/u_0376.png,u,n
432,letter_reversal/images/m_1872.png,m,w
433,letter_reversal/images/m_0629.png,m,w
434,letter_reversal/images/b_0516.png,b,d
435,letter_reversal/images/u_1312.png,u,n
436,letter_reversal/images/m_1969.png,m,w
437,letter_reversal/images/w_0237.png,w,m
438,letter_reversal/images/u_1034.png,u,n
439,letter_reversal/images/b_0333.png,b,d
440,letter_reversal/images/d_0055.png,d,b
441,letter_reversal/images/w_0222.png,w,m
442,letter_reversal/images/u_0653.png,u,n
443,letter_reversal/images/m_1283.png,m,w
444,letter_reversal/images/d_1159.png,d,b
445,letter_reversal/images/w_1543.png,w,m
446,letter_reversal/images/w_1001.png,w,m
447,letter_reversal/images/m_1502.png,m,w
448,letter_reversal/images/u_0326.png,u,n
449,letter_reversal/images/q_0672.png,q,p
450,letter_reversal/images/b_1478.png,b,d
451,letter_reversal/images/q_1519.png,q,p
452,letter_reversal/images/w_1000.png,w,m
453,letter_reversal/images/q_1780.png,q,p
454,letter_reversal/images/n_1634.png,n,u
455,letter_reversal/images/m_0955.png,m,w
456,letter_reversal/images/b_1458.png,b,d
457,letter_reversal/images/q_0916.png,q,p
458,letter_reversal/images/d_1013.png,d,b
459,letter_reversal/images/q_0497.png,q,p
460,letter_reversal/images/d_0503.png,d,b
461,letter_reversal/images/n_1923.png,n,u
462,letter_reversal/images/d_1743.png,d,b
463,letter_reversal/images/m_1017.png,m,w
464,letter_reversal/images/m_1608.png,m,w
465,letter_reversal/images/q_0005.png,q,p
466,letter_reversal/images/w_0473.png,w,m
467,letter_reversal/images/n_0656.png,n,u
468,letter_reversal/images/p_1284.png,p,q
469,letter_reversal/images/b_0435.png,b,d
470,letter_reversal/images/u_1514.png,u,n
471,letter_reversal/images/d_1474.png,d,b
472,letter_reversal/images/w_1960.png,w,m
473,letter_reversal/images/d_0518.png,d,b
474,letter_reversal/images/d_1696.png,d,b
475,letter_reversal/images/q_0660.png,q,p
476,letter_reversal/images/n_0929.png,n,u
477,letter_reversal/images/u_0628.png,u,n
478,letter_reversal/images/p_0270.png,p,q
479,letter_reversal/images/p_0093.png,p,q
480,letter_reversal/images/w_0791.png,w,m
481,letter_reversal/images/q_0872.png,q,p
482,letter_reversal/images/m_0914.png,m,w
483,letter_reversal/images/w_1201.png,w,m
484,letter_reversal/images/d_0187.png,d,b
485,letter_reversal/images/n_0061.png,n,u
486,letter_reversal/images/b_0357.png,b,d
487,letter_reversal/images/u_0868.png,u,n
488,letter_reversal/images/u_0562.png,u,n
489,letter_reversal/images/u_0732.png,u,n
490,letter_reversal/images/q_0030.png,q,p
491,letter_reversal/images/w_1770.png,w,m
492,letter_reversal/images/d_1507.png,d,b
493,letter_reversal/images/b_1532.png,b,d
494,letter_reversal/images/w_1106.png,w,m
495,letter_reversal/images/u_0703.png,u,n
496,letter_reversal/images/w_1525.png,w,m
497,letter_reversal/images/q_1405.png,q,p
498,letter_reversal/images/w_0274.png,w,m
499,letter_reversal/images/b_0716.png,b,d
500,letter_reversal/images/u_1750.png,u,n
501,letter_reversal/images/w_1179.png,w,m
502,letter_reversal/images/d_0293.png,d,b
503,letter_reversal/images/n_1315.png,n,u
504,letter_reversal/images/m_1670.png,m,w
505,letter_reversal/images/m_1439.png,m,w
506,letter_reversal/images/u_1031.png,u,n
507,letter_reversal/images/b_0922.png,b,d
508,letter_reversal/images/u_1725.png,u,n
509,letter_reversal/images/n_1485.png,n,u
510,letter_reversal/images/m_0956.png,m,w
511,letter_reversal/images/p_1005.png,p,q
512,letter_reversal/images/b_0612.png,b,d
513,letter_reversal/images/q_0273.png,q,p
514,letter_reversal/images/w_0633.png,w,m
515,letter_reversal/images/p_0395.png,p,q
516,letter_reversal/images/b_1535.png,b,d
517,letter_reversal/images/n_0763.png,n,u
518,letter_reversal/images/p_0968.png,p,q
519,letter_reversal/images/d_0840.png,d,b
520,letter_reversal/images/n_1098.png,n,u
521,letter_reversal/images/w_0129.png,w,m
522,letter_reversal/images/w_1695.png,w,m
523,letter_reversal/images/u_0169.png,u,n
524,letter_reversal/images/b_0610.png,b,d
525,letter_reversal/images/u_0409.png,u,n
526,letter_reversal/images/n_1140.png,n,u
527,letter_reversal/images/u_0984.png,u,n
528,letter_reversal/images/b_1751.png,b,d
529,letter_reversal/images/m_1991.png,m,w
530,letter_reversal/images/m_0052.png,m,w
531,letter_reversal/images/n_1801.png,n,u
532,letter_reversal/images/m_0906.png,m,w
533,letter_reversal/images/b_1129.png,b,d
534,letter_reversal/images/b_0971.png,b,d
535,letter_reversal/images/q_1641.png,q,p
536,letter_reversal/images/n_0552.png,n,u
537,letter_reversal/images/q_1287.png,q,p
538,letter_reversal/images/d_1394.png,d,b
539,letter_reversal/images/n_0575.png,n,u
540,letter_reversal/images/u_0728.png,u,n
541,letter_reversal/images/m_0143.png,m,w
542,letter_reversal/images/d_1205.png,d,b
543,letter_reversal/images/q_0416.png,q,p
544,letter_reversal/images/q_1995.png,q,p
545,letter_reversal/images/p_1232.png,p,q
546,letter_reversal/images/p_1639.png,p,q
547,letter_reversal/images/d_1584.png,d,b
548,letter_reversal/images/p_0951.png,p,q
549,letter_reversal/images/p_0548.png,p,q
550,letter_reversal/images/m_1063.png,m,w
551,letter_reversal/images/m_1076.png,m,w
552,letter_reversal/images/u_1294.png,u,n
553,letter_reversal/images/w_0004.png,w,m
554,letter_reversal/images/p_0805.png,p,q
555,letter_reversal/images/m_0499.png,m,w
556,letter_reversal/images/d_1271.png,d,b
557,letter_reversal/images/b_0164.png,b,d
558,letter_reversal/images/u_0013.png,u,n
559,letter_reversal/images/q_1335.png,q,p
560,letter_reversal/images/u_1085.png,u,n
561,letter_reversal/images/d_1341.png,d,b
562,letter_reversal/images/q_1542.png,q,p
563,letter_reversal/images/n_1024.png,n,u
564,letter_reversal/images/n_1407.png,n,u
565,letter_reversal/images/q_0325.png,q,p
566,letter_reversal/images/u_0448.png,u,n
567,letter_reversal/images/u_1863.png,u,n
568,letter_reversal/images/u_1858.png,u,n
569,letter_reversal/images/u_1955.png,u,n
570,letter_reversal/images/q_0284.png,q,p
571,letter_reversal/images/n_0477.png,n,u
572,letter_reversal/images/q_1469.png,q,p
573,letter_reversal/images/q_1764.png,q,p
574,letter_reversal/images/u_0876.png,u,n
575,letter_reversal/images/w_0517.png,w,m
576,letter_reversal/images/m_1753.png,m,w
577,letter_reversal/images/q_0667.png,q,p
578,letter_reversal/images/q_0899.png,q,p
579,letter_reversal/images/n_0553.png,n,u
580,letter_reversal/images/q_0279.png,q,p
581,letter_reversal/images/d_0793.png,d,b
582,letter_reversal/images/d_0849.png,d,b
583,letter_reversal/images/q_1588.png,q,p
584,letter_reversal/images/p_1384.png,p,q
585,letter_reversal/images/q_1239.png,q,p
586,letter_reversal/images/m_1346.png,m,w
587,letter_reversal/images/n_1877.png,n,u
588,letter_reversal/images/b_0067.png,b,d
589,letter_reversal/images/d_0198.png,d,b
590,letter_reversal/images/u_0058.png,u,n
591,letter_reversal/images/w_1781.png,w,m
592,letter_reversal/images/q_0418.png,q,p
593,letter_reversal/images/n_0602.png,n,u
594,letter_reversal/images/p_1896.png,p,q
595,letter_reversal/images/d_0233.png,d,b
596,letter_reversal/images/m_1463.png,m,w
597,letter_reversal/images/b_1820.png,b,d
598,letter_reversal/images/n_1499.png,n,u
599,letter_reversal/images/w_0939.png,w,m
600,letter_reversal/images/u_0498.png,u,n
601,letter_reversal/images/d_1902.png,d,b
602,letter_reversal/images/p_0125.png,p,q
603,letter_reversal/images/d_1144.png,d,b
604,letter_reversal/images/q_1952.png,q,p
605,letter_reversal/images/u_1183.png,u,n
606,letter_reversal/images/u_0806.png,u,n
607,letter_reversal/images/d_1558.png,d,b
608,letter_reversal/images/q_1193.png,q,p
609,letter_reversal/images/m_0542.png,m,w
610,letter_reversal/images/q_0935.png,q,p
611,letter_reversal/images/b_0484.png,b,d
612,letter_reversal/images/p_1757.png,p,q
613,letter_reversal/images/p_1345.png,p,q
614,letter_reversal/images/p_0259.png,p,q
615,letter_reversal/images/u_0300.png,u,n
616,letter_reversal/images/m_0462.png,m,w
617,letter_reversal/images/m_0974.png,m,w
618,letter_reversal/images/b_0267.png,b,d
619,letter_reversal/images/n_0589.png,n,u
620,letter_reversal/images/n_0729.png,n,u
621,letter_reversal/images/m_1760.png,m,w
622,letter_reversal/images/p_1314.png,p,q
623,letter_reversal/images/w_0422.png,w,m
624,letter_reversal/images/u_0961.png,u,n
625,letter_reversal/images/n_0011.png,n,u
626,letter_reversal/images/q_1447.png,q,p
627,letter_reversal/images/d_0115.png,d,b
628,letter_reversal/images/b_0177.png,b,d
629,letter_reversal/images/m_0437.png,m,w
630,letter_reversal/images/q_0380.png,q,p
631,letter_reversal/images/d_0587.png,d,b
632,letter_reversal/images/p_0142.png,p,q
633,letter_reversal/images/d_1936.png,d,b
634,letter_reversal/images/w_1596.png,w,m
