id,misspelled_word,correct_word,error_category
362,praktike,practice,phonetic_error
363,accessmibility,accessibility,extra_letter
364,tehcnology,technology,keyboard_error
365,enviropnment,environment,extra_letter
366,endvironment,environment,extra_letter
367,beutiful,beautiful,missing_letter
368,deinitely,definitely,missing_letter
369,undertsanding,understanding,keyboard_error
370,bekause,because,phonetic_error
371,defiintely,definitely,keyboard_error
372,larning,learning,missing_letter
373,technologhy,technology,extra_letter
374,beautigful,beautiful,extra_letter
375,definitel,definitely,missing_letter
376,technoloogy,technology,extra_letter
377,studnet,student,keyboard_error
378,educashun,education,phonetic_error
379,nvironment,environment,missing_letter
380,accessibilty,accessibility,missing_letter
381,akkessibility,accessibility,phonetic_error
382,stduent,student,keyboard_error
383,bceause,because,keyboard_error
384,technoloyg,technology,keyboard_error
385,understandin,understanding,missing_letter
386,komputer,computer,phonetic_error
387,beautiufl,beautiful,keyboard_error
388,eautiful,beautiful,missing_letter
389,lerning,learning,missing_letter
390,knoowledge,knowledge,extra_letter
391,pratcice,practice,keyboard_error
392,stuednt,student,keyboard_error
393,senvironment,environment,extra_letter
394,accessiiblity,accessibility,keyboard_error
395,knowledg,knowledge,missing_letter
396,studennt,student,extra_letter
397,knowfledge,knowledge,extra_letter
398,tekhnology,technology,phonetic_error
399,definigtely,definitely,extra_letter
400,understandnig,understanding,keyboard_error
401,pracitce,practice,keyboard_error
402,accessibilitwy,accessibility,extra_letter
403,bekause,because,phonetic_error
404,komputer,computer,phonetic_error
405,lamnguage,language,extra_letter
406,tudent,student,missing_letter
407,beatuiful,beautiful,keyboard_error
408,knfowledge,knowledge,extra_letter
409,konwledge,knowledge,keyboard_error
410,edcation,education,missing_letter
411,edcation,education,missing_letter
412,tehcnology,technology,keyboard_error
413,imortant,important,missing_letter
414,languaeg,language,keyboard_error
415,beautifuld,beautiful,extra_letter
416,environmentt,environment,extra_letter
417,imporant,important,missing_letter
418,prcatice,practice,keyboard_error
419,praktike,practice,phonetic_error
420,becuase,because,keyboard_error
421,environmentb,environment,extra_letter
422,becausge,because,extra_letter
423,lnguage,language,missing_letter
424,definitly,definitely,missing_letter
425,environmenqt,environment,extra_letter
426,miportant,important,keyboard_error
427,leanring,learning,keyboard_error
428,comuter,computer,missing_letter
429,importanht,important,extra_letter
430,beautpiful,beautiful,extra_letter
431,akkessibility,accessibility,phonetic_error
432,educashun,education,phonetic_error
433,langugae,language,keyboard_error
434,praktike,practice,phonetic_error
435,knowldege,knowledge,keyboard_error
436,educcation,education,extra_letter
437,akkessibility,accessibility,phonetic_error
438,edcation,education,missing_letter
439,studet,student,missing_letter
440,definitealy,definitely,extra_letter
441,environmenyt,environment,extra_letter
442,technoloy,technology,missing_letter
443,tekhnology,technology,phonetic_error
444,becuase,because,keyboard_error
445,komputer,computer,phonetic_error
446,learnig,learning,missing_letter
447,accesosibility,accessibility,extra_letter
448,beatiful,beautiful,missing_letter
449,parctice,practice,keyboard_error
450,lagnuage,language,keyboard_error
451,undcerstanding,understanding,extra_letter
452,pracice,practice,missing_letter
453,beacuse,because,keyboard_error
454,definitel,definitely,missing_letter
455,importnat,important,keyboard_error
456,knowfledge,knowledge,extra_letter
457,akkessibility,accessibility,phonetic_error
458,technologyp,technology,extra_letter
459,leairning,learning,extra_letter
460,kowledge,knowledge,missing_letter
461,technoolgy,technology,keyboard_error
462,pratice,practice,missing_letter
463,improtant,important,keyboard_error
464,practicxe,practice,extra_letter
465,pracitce,practice,keyboard_error
466,eduation,education,missing_letter
467,undertanding,understanding,missing_letter
468,definiately,definitely,extra_letter
469,langauge,language,keyboard_error
470,understandnig,understanding,keyboard_error
471,understnading,understanding,keyboard_error
472,knoledge,knowledge,missing_letter
473,dcomputer,computer,extra_letter
474,praktike,practice,phonetic_error
475,eduation,education,missing_letter
476,kowledge,knowledge,missing_letter
477,tecnhology,technology,keyboard_error
478,ximportant,important,extra_letter
479,beautiflu,beautiful,keyboard_error
480,beautiflu,beautiful,keyboard_error
481,knowlxedge,knowledge,extra_letter
482,environmnet,environment,keyboard_error
483,accessibiliyt,accessibility,keyboard_error
484,becuse,because,missing_letter
485,becaubse,because,extra_letter
486,prctice,practice,missing_letter
487,knofwledge,knowledge,extra_letter
488,efinitely,definitely,missing_letter
489,studentl,student,extra_letter
490,tsudent,student,keyboard_error
491,definitezly,definitely,extra_letter
492,tekhnology,technology,phonetic_error
493,komputer,computer,phonetic_error
494,tudent,student,missing_letter
495,understandming,understanding,extra_letter
496,understanjding,understanding,extra_letter
497,computerr,computer,extra_letter
498,understandinge,understanding,extra_letter
499,ocmputer,computer,keyboard_error
500,understandng,understanding,missing_letter
501,compucter,computer,extra_letter
502,imporbtant,important,extra_letter
503,compuoter,computer,extra_letter
504,becasue,because,keyboard_error
505,envirnment,environment,missing_letter
506,tekhnology,technology,phonetic_error
507,knwledge,knowledge,missing_letter
508,environmenht,environment,extra_letter
509,tudent,student,missing_letter
510,accessibliity,accessibility,keyboard_error
511,understandingn,understanding,extra_letter
512,bebautiful,beautiful,extra_letter
513,becaues,because,keyboard_error
514,definiely,definitely,missing_letter
515,beautifu,beautiful,missing_letter
516,accssibility,accessibility,missing_letter
517,educashun,education,phonetic_error
518,eiducation,education,extra_letter
519,stduent,student,keyboard_error
520,understandign,understanding,keyboard_error
521,importlant,important,extra_letter
522,computert,computer,extra_letter
523,enviornment,environment,keyboard_error
524,deucation,education,keyboard_error
525,languages,language,extra_letter
526,environmetn,environment,keyboard_error
527,techology,technology,missing_letter
528,environmnet,environment,keyboard_error
529,practiec,practice,keyboard_error
530,studentj,student,extra_letter
531,compute,computer,missing_letter
532,beautfiul,beautiful,keyboard_error
533,earning,learning,missing_letter
534,ecnvironment,environment,extra_letter
535,comyputer,computer,extra_letter
536,studentg,student,extra_letter
537,becaue,because,missing_letter
538,definietly,definitely,keyboard_error
539,technovlogy,technology,extra_letter
540,studet,student,missing_letter
541,stduent,student,keyboard_error
542,pratice,practice,missing_letter
543,compubter,computer,extra_letter
544,educatidon,education,extra_letter
545,becausoe,because,extra_letter
546,sutdent,student,keyboard_error
547,leraning,learning,keyboard_error
548,ipmortant,important,keyboard_error
549,cbeautiful,beautiful,extra_letter
550,beaubtiful,beautiful,extra_letter
551,knowldege,knowledge,keyboard_error
552,beautiul,beautiful,missing_letter
553,envsironment,environment,extra_letter
554,definituely,definitely,extra_letter
555,nvironment,environment,missing_letter
556,praktike,practice,phonetic_error
557,miportant,important,keyboard_error
558,languagxe,language,extra_letter
559,bekause,because,phonetic_error
560,beatuiful,beautiful,keyboard_error
561,becafuse,because,extra_letter
562,knovwledge,knowledge,extra_letter
563,educatiobn,education,extra_letter
564,enivronment,environment,keyboard_error
565,definitejly,definitely,extra_letter
566,becuse,because,missing_letter
567,spractice,practice,extra_letter
568,ocmputer,computer,keyboard_error
569,becase,because,missing_letter
570,practiec,practice,keyboard_error
571,becase,because,missing_letter
572,larning,learning,missing_letter
573,studrent,student,extra_letter
574,becaues,because,keyboard_error
575,edfinitely,definitely,keyboard_error
576,ppractice,practice,extra_letter
577,xstudent,student,extra_letter
578,educashun,education,phonetic_error
579,envrironment,environment,extra_letter
580,knwoledge,knowledge,keyboard_error
581,imoprtant,important,keyboard_error
582,pratice,practice,missing_letter
583,computeur,computer,extra_letter
584,eqnvironment,environment,extra_letter
585,defintely,definitely,missing_letter
586,envisronment,environment,extra_letter
587,studengt,student,extra_letter
588,pgractice,practice,extra_letter
589,prcatice,practice,keyboard_error
590,becausef,because,extra_letter
591,becaue,because,missing_letter
592,bekause,because,phonetic_error
593,tekhnology,technology,phonetic_error
594,vstudent,student,extra_letter
595,compute,computer,missing_letter
596,practce,practice,missing_letter
597,technolgy,technology,missing_letter
598,definiely,definitely,missing_letter
599,tiechnology,technology,extra_letter
600,compuhter,computer,extra_letter
601,accssibility,accessibility,missing_letter
602,tudent,student,missing_letter
603,becausde,because,extra_letter
604,technoloy,technology,missing_letter
605,impnortant,important,extra_letter
606,enironment,environment,missing_letter
607,deifnitely,definitely,keyboard_error
608,knowlecdge,knowledge,extra_letter
609,educvation,education,extra_letter
610,unerstanding,understanding,missing_letter
611,knwoledge,knowledge,keyboard_error
612,ducation,education,missing_letter
613,stdent,student,missing_letter
614,importatn,important,keyboard_error
615,alearning,learning,extra_letter
616,accessiybility,accessibility,extra_letter
617,importnat,important,keyboard_error
618,accessiility,accessibility,missing_letter
619,tcehnology,technology,keyboard_error
620,importan,important,missing_letter
621,eautiful,beautiful,missing_letter
622,leraning,learning,keyboard_error
623,understlanding,understanding,extra_letter
624,laguage,language,missing_letter
625,studentx,student,extra_letter
626,comuter,computer,missing_letter
627,educashun,education,phonetic_error
628,importsant,important,extra_letter
629,learnign,learning,keyboard_error
630,eautiful,beautiful,missing_letter
631,accessibiilty,accessibility,keyboard_error
632,prcatice,practice,keyboard_error
633,pracitce,practice,keyboard_error
634,lnguage,language,missing_letter
635,technolpogy,technology,extra_letter
636,becausee,because,extra_letter
637,becaues,because,keyboard_error
638,learnnig,learning,keyboard_error
639,defiitely,definitely,missing_letter
640,environmeent,environment,extra_letter
641,tecnology,technology,missing_letter
642,knobwledge,knowledge,extra_letter
643,learninjg,learning,extra_letter
644,xcomputer,computer,extra_letter
645,definiterly,definitely,extra_letter
646,becaus,because,missing_letter
647,akkessibility,accessibility,phonetic_error
648,beautifulq,beautiful,extra_letter
649,compuvter,computer,extra_letter
650,learnihng,learning,extra_letter
651,definitbely,definitely,extra_letter
652,languae,language,missing_letter
653,studet,student,missing_letter
654,understandig,understanding,missing_letter
655,beautifl,beautiful,missing_letter
656,bceause,because,keyboard_error
657,importan,important,missing_letter
658,bekause,because,phonetic_error
659,bekause,because,phonetic_error
660,knoweldge,knowledge,keyboard_error
661,practcie,practice,keyboard_error
662,educashun,education,phonetic_error
663,mportant,important,missing_letter
664,studentw,student,extra_letter
665,pracitce,practice,keyboard_error
666,berautiful,beautiful,extra_letter
667,tzechnology,technology,extra_letter
668,knowledxge,knowledge,extra_letter
669,lanugage,language,keyboard_error
670,qlearning,learning,extra_letter
671,dfinitely,definitely,missing_letter
672,stduent,student,keyboard_error
673,understawnding,understanding,extra_letter
674,beautfiul,beautiful,keyboard_error
675,ipmortant,important,keyboard_error
676,enviironment,environment,extra_letter
677,technlogy,technology,missing_letter
678,leanring,learning,keyboard_error
679,acecssibility,accessibility,keyboard_error
680,omputer,computer,missing_letter
681,beauwtiful,beautiful,extra_letter
682,leraning,learning,keyboard_error
683,definiteyl,definitely,keyboard_error
684,copmuter,computer,keyboard_error
685,sudent,student,missing_letter
686,studexnt,student,extra_letter
687,accsesibility,accessibility,keyboard_error
688,awccessibility,accessibility,extra_letter
689,compute,computer,missing_letter
690,bekause,because,phonetic_error
691,eductaion,education,keyboard_error
692,cunderstanding,understanding,extra_letter
693,mportant,important,missing_letter
694,imporatnt,important,keyboard_error
695,technoolgy,technology,keyboard_error
696,technoogy,technology,missing_letter
697,edcuation,education,keyboard_error
698,sturdent,student,extra_letter
699,eduction,education,missing_letter
700,bekause,because,phonetic_error
701,leargning,learning,extra_letter
702,studentp,student,extra_letter
703,evironment,environment,missing_letter
704,educashun,education,phonetic_error
705,compute,computer,missing_letter
706,knowledpge,knowledge,extra_letter
707,importnt,important,missing_letter
708,akkessibility,accessibility,phonetic_error
709,impourtant,important,extra_letter
710,lagnuage,language,keyboard_error
711,improtant,important,keyboard_error
712,sudent,student,missing_letter
713,texchnology,technology,extra_letter
714,tcehnology,technology,keyboard_error
715,accessbility,accessibility,missing_letter
716,pracntice,practice,extra_letter
717,beaiutiful,beautiful,extra_letter
718,becaue,because,missing_letter
719,technolog,technology,missing_letter
720,learnin,learning,missing_letter
721,unerstanding,understanding,missing_letter
722,komputer,computer,phonetic_error
723,ebautiful,beautiful,keyboard_error
724,comuter,computer,missing_letter
725,becuse,because,missing_letter
726,environmentd,environment,extra_letter
727,knowldge,knowledge,missing_letter
728,educashun,education,phonetic_error
729,educashun,education,phonetic_error
730,envirsonment,environment,extra_letter
731,tekhnology,technology,phonetic_error
732,becuase,because,keyboard_error
733,deifnitely,definitely,keyboard_error
734,defilnitely,definitely,extra_letter
735,defiitely,definitely,missing_letter
736,practic,practice,missing_letter
737,evironment,environment,missing_letter
738,compute,computer,missing_letter
739,compuer,computer,missing_letter
740,edrucation,education,extra_letter
741,beautiyful,beautiful,extra_letter
742,prcatice,practice,keyboard_error
743,bcause,because,missing_letter
744,knowledgen,knowledge,extra_letter
745,becapuse,because,extra_letter
746,environmen,environment,missing_letter
747,envronment,environment,missing_letter
748,definitley,definitely,keyboard_error
749,akkessibility,accessibility,phonetic_error
750,dknowledge,knowledge,extra_letter
751,ebautiful,beautiful,keyboard_error
752,becaause,because,extra_letter
753,definitley,definitely,keyboard_error
754,akkessibility,accessibility,phonetic_error
755,technoogy,technology,missing_letter
756,accessiility,accessibility,missing_letter
757,technologyy,technology,extra_letter
758,envirownment,environment,extra_letter
759,importuant,important,extra_letter
760,studnt,student,missing_letter
761,undrestanding,understanding,keyboard_error
762,educhation,education,extra_letter
763,lenvironment,environment,extra_letter
764,laguage,language,missing_letter
765,bekause,because,phonetic_error
766,komputer,computer,phonetic_error
767,knowledkge,knowledge,extra_letter
768,becaus,because,missing_letter
769,bekause,because,phonetic_error
770,environement,environment,extra_letter
771,knoweldge,knowledge,keyboard_error
772,lanugage,language,keyboard_error
773,imoprtant,important,keyboard_error
774,leahrning,learning,extra_letter
775,pratcice,practice,keyboard_error
776,comptuer,computer,keyboard_error
777,techology,technology,missing_letter
778,uderstanding,understanding,missing_letter
779,accessibilty,accessibility,missing_letter
780,laanguage,language,extra_letter
781,lbearning,learning,extra_letter
782,nkowledge,knowledge,keyboard_error
783,komputer,computer,phonetic_error
784,becaguse,because,extra_letter
785,nevironment,environment,keyboard_error
786,acceswsibility,accessibility,extra_letter
787,knoweldge,knowledge,keyboard_error
788,knowlede,knowledge,missing_letter
789,understamnding,understanding,extra_letter
790,beautifoul,beautiful,extra_letter
791,ytechnology,technology,extra_letter
792,doefinitely,definitely,extra_letter
793,kowledge,knowledge,missing_letter
794,educashun,education,phonetic_error
795,echnology,technology,missing_letter
796,akkessibility,accessibility,phonetic_error
797,leanring,learning,keyboard_error
798,studaent,student,extra_letter
799,compuetr,computer,keyboard_error
800,definitley,definitely,keyboard_error
801,eduction,education,missing_letter
802,langugae,language,keyboard_error
803,defniitely,definitely,keyboard_error
804,estudent,student,extra_letter
805,pratice,practice,missing_letter
806,studetn,student,keyboard_error
807,becaus,because,missing_letter
808,techneology,technology,extra_letter
809,becaushe,because,extra_letter
810,understaning,understanding,missing_letter
811,studpent,student,extra_letter
812,lagnuage,language,keyboard_error
813,knowledgel,knowledge,extra_letter
814,bzeautiful,beautiful,extra_letter
815,imponrtant,important,extra_letter
816,pratcice,practice,keyboard_error
817,leaning,learning,missing_letter
818,praktike,practice,phonetic_error
819,beautifhul,beautiful,extra_letter
820,tehnology,technology,missing_letter
821,bekause,because,phonetic_error
822,beatuiful,beautiful,keyboard_error
823,dfeinitely,definitely,keyboard_error
824,learneing,learning,extra_letter
825,nkowledge,knowledge,keyboard_error
826,accesibility,accessibility,missing_letter
827,tekhnology,technology,phonetic_error
828,understnding,understanding,missing_letter
829,leanring,learning,keyboard_error
830,educationm,education,extra_letter
831,leraning,learning,keyboard_error
832,defiunitely,definitely,extra_letter
833,tchnology,technology,missing_letter
834,tekhnology,technology,phonetic_error
835,pvractice,practice,extra_letter
836,envirnoment,environment,keyboard_error
837,praktike,practice,phonetic_error
838,leharning,learning,extra_letter
839,envirnoment,environment,keyboard_error
840,omputer,computer,missing_letter
841,alnguage,language,keyboard_error
842,becuse,because,missing_letter
843,studetn,student,keyboard_error
844,accessibilcity,accessibility,extra_letter
845,stcudent,student,extra_letter
846,nvironment,environment,missing_letter
847,understanidng,understanding,keyboard_error
848,bekause,because,phonetic_error
849,knowlegde,knowledge,keyboard_error
